Clock Push-Up, Chest," Shoulders, Triceps"
Close-Grip Barbell Bench Press, Triceps," Chest, Shoulders"
Close-Grip Dumbbell Press, Triceps," Chest, Shoulders"
Close-Grip EZ Bar Curl, Biceps, Forearms
Close-Grip EZ-Bar Curl with Band, Biceps, Forearms
Close-Grip EZ-Bar Press, Triceps," Chest, Shoulders"
Close-Grip Front Lat Pulldown, Lats," Biceps, Middle Back, Shoulders"
Close-Grip Push-Up off of a Dumbbell, Triceps," Abdominals, Chest, Shoulders"
Close-Grip Standing Barbell Curl, Biceps, Forearms
Cocoons, Abdominals,none
Conan's Wheel, Quadriceps," Abdominals, Biceps, Calves, Forearms, Lower Back, Shoulders, Traps"
Concentration Curls, Biceps, Forearms
Cross Body Hammer Curl, Biceps, Forearms
Cross Over - With Bands, Chest," Biceps, Shoulders"
Cross-Body Crunch, Abdominals,none
Crossover Reverse Lunge, Lower Back," Abdominals, Abductors, Glutes, Hamstrings, Quadriceps"
Crucifix, Shoulders, Forearms
Crunch - Hands Overhead, Abdominals,none
Crunch - Legs On Exercise Ball, Abdominals,none
Crunches, Abdominals,none
Cuban Press, Shoulders, Traps
Dancer's Stretch, Lower Back," Abductors, Glutes"
Dead Bug, Abdominals,none
Deadlift with Bands, Lower Back," Forearms, Glutes, Hamstrings, Middle Back, Quadriceps, Traps"
Deadlift with Chains, Lower Back," Forearms, Glutes, Hamstrings, Middle Back, Quadriceps, Traps"
Decline Barbell Bench Press, Chest," Shoulders, Triceps"
Decline Close-Grip Bench To Skull Crusher, Triceps," Chest, Shoulders"
Decline Crunch, Abdominals,none
Decline Dumbbell Bench Press, Chest," Shoulders, Triceps"
Decline Dumbbell Flyes, Chest,none
Decline Dumbbell Triceps Extension, Triceps,none
Decline EZ Bar Triceps Extension, Triceps,none
Decline Oblique Crunch, Abdominals,none
Decline Push-Up, Chest," Shoulders, Triceps"
Decline Reverse Crunch, Abdominals,none
Decline Smith Press, Chest," Shoulders, Triceps"
Deficit Deadlift, Lower Back," Forearms, Glutes, Hamstrings, Middle Back, Quadriceps, Traps"
Depth Jump Leap, Quadriceps," Abductors, Adductors, Calves, Glutes, Hamstrings"
Dip Machine, Triceps," Chest, Shoulders"
Dips - Chest Version, Chest," Shoulders, Triceps"
Dips - Triceps Version, Triceps," Chest, Shoulders"
Donkey Calf Raises, Calves,none
Double Kettlebell Alternating Hang Clean, Hamstrings," Biceps, Calves, Forearms, Glutes, Lower Back, Quadriceps, Traps"
Double Kettlebell Jerk, Shoulders," Calves, Quadriceps, Triceps"
Double Kettlebell Push Press, Shoulders," Calves, Quadriceps, Triceps"
Double Kettlebell Snatch, Shoulders," Glutes, Hamstrings, Quadriceps"
Double Kettlebell Windmill, Abdominals," Glutes, Hamstrings, Shoulders, Triceps"
Double Leg Butt Kick, Quadriceps," Abductors, Adductors, Calves, Glutes, Hamstrings"
Downward Facing Balance, Glutes," Abdominals, Hamstrings"
Drag Curl, Biceps, Forearms
Drop Push, Chest," Shoulders, Triceps"
Dumbbell Alternate Bicep Curl, Biceps, Forearms
Dumbbell Bench Press, Chest," Shoulders, Triceps"
Dumbbell Bench Press with Neutral Grip, Chest," Shoulders, Triceps"
Dumbbell Bicep Curl, Biceps, Forearms
Dumbbell Clean, Hamstrings," Calves, Forearms, Glutes, Lower Back, Quadriceps, Shoulders, Traps"
Dumbbell Floor Press, Triceps," Chest, Shoulders"
Dumbbell Flyes, Chest,none
Dumbbell Incline Row, Middle Back," Biceps, Forearms, Lats, Shoulders"
Dumbbell Incline Shoulder Raise, Shoulders, Triceps
Dumbbell Lunges, Quadriceps," Calves, Glutes, Hamstrings"
Dumbbell Lying One-Arm Rear Lateral Raise, Shoulders, Middle Back
Dumbbell Lying Pronation, Forearms,none
Dumbbell Lying Rear Lateral Raise, Shoulders,none
Dumbbell Lying Supination, Forearms,none
Dumbbell One-Arm Shoulder Press, Shoulders, Triceps
Dumbbell One-Arm Triceps Extension, Triceps,none
Dumbbell One-Arm Upright Row, Shoulders," Biceps, Traps"
Dumbbell Prone Incline Curl, Biceps,none
Dumbbell Raise, Shoulders, Biceps
Dumbbell Rear Lunge, Quadriceps," Calves, Glutes, Hamstrings"
Dumbbell Scaption, Shoulders, Traps
Dumbbell Seated Box Jump, Quadriceps," Calves, Glutes, Hamstrings"
Dumbbell Seated One-Leg Calf Raise, Calves,none
Dumbbell Shoulder Press, Shoulders, Triceps
Dumbbell Shrug, Traps,none
Dumbbell Side Bend, Abdominals,none
Dumbbell Squat, Quadriceps," Calves, Glutes, Hamstrings, Lower Back"
Dumbbell Squat To A Bench, Quadriceps," Calves, Glutes, Hamstrings, Lower Back"
Dumbbell Step Ups, Quadriceps," Calves, Glutes, Hamstrings"
Dumbbell Tricep Extension -Pronated Grip, Triceps,none
Dynamic Back Stretch, Lats,none
Dynamic Chest Stretch, Chest, Middle Back
Elbow Circles, Shoulders, Traps
Elbow to Knee, Abdominals,none
Elbows Back, Chest, Shoulders
Elevated Back Lunge, Quadriceps," Glutes, Hamstrings"
Elevated Cable Rows, Lats," Middle Back, Traps"
Elliptical Trainer, Quadriceps," Calves, Glutes, Hamstrings"
Exercise Ball Crunch, Abdominals,none
Exercise Ball Pull-In, Abdominals,none
Extended Range One-Arm Kettlebell Floor Press, Chest," Shoulders, Triceps"
External Rotation, Shoulders,none
External Rotation with Band, Shoulders,none
External Rotation with Cable, Shoulders,none
EZ-Bar Curl, Biceps,none
EZ-Bar Skullcrusher, Triceps, Forearms
Face Pull, Shoulders, Middle Back
Farmer's Walk, Forearms," Abdominals, Glutes, Hamstrings, Lower Back, Quadriceps, Traps"
Fast Skipping, Quadriceps," Abductors, Adductors, Calves, Glutes, Hamstrings"
Finger Curls, Forearms,none
Flat Bench Cable Flyes, Chest,none
Flat Bench Leg Pull-In, Abdominals,none
Flat Bench Lying Leg Raise, Abdominals,none
Flexor Incline Dumbbell Curls, Biceps,none
Floor Glute-Ham Raise, Hamstrings," Calves, Glutes"
Floor Press, Triceps," Chest, Shoulders"
Floor Press with Chains, Triceps," Chest, Shoulders"
Flutter Kicks, Glutes, Hamstrings
Foot-SMR, Calves,none
Forward Drag with Press, Chest," Calves, Glutes, Hamstrings, Quadriceps, Shoulders, Triceps"
Frankenstein Squat, Quadriceps," Abdominals, Calves, Glutes, Hamstrings"
Freehand Jump Squat, Quadriceps," Calves, Glutes, Hamstrings"
Frog Hops, Quadriceps," Calves, Glutes, Hamstrings"
Frog Sit-Ups, Abdominals,none
Front Barbell Squat, Quadriceps," Calves, Glutes, Hamstrings"
Front Barbell Squat To A Bench, Quadriceps," Calves, Glutes, Hamstrings"
Front Box Jump, Hamstrings," Abductors, Adductors, Calves, Glutes, Quadriceps"
Front Cable Raise, Shoulders,none
Front Cone Hops (or hurdle hops), Quadriceps," Abductors, Adductors, Calves, Glutes, Hamstrings"
Front Dumbbell Raise, Shoulders,none
Front Incline Dumbbell Raise, Shoulders,none
Front Leg Raises, Hamstrings,none
Front Plate Raise, Shoulders,none
